Parcela_ID,Malla16k,Malla1k,Malla2k,Malla4k,Malla8k,COMUNA,NOM_COMUNA,NOM_PROVIN,PROVINCIA,NOM_REGION,REGION,latitude,longitude
432390,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55993612060018,-70.66484893115701
432389,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55993612060018,-70.67607787220852
432388,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55993612060018,-70.6850610250497
432550,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55095296775898,-70.6738320839982
432710,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54196981491778,-70.6850610250497
433870,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.47908774502942,-70.6940441778909
434043,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.47010459218822,-70.6850610250497
434042,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.47010459218822,-70.6940441778909
434041,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.47010459218822,-70.7052731189424
434040,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.47010459218822,-70.71650205999389
434039,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.47010459218822,-70.72773100104538
434215,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.46112143934702,-70.6940441778909
434213,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.46112143934702,-70.71650205999389
434391,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.45213828650584,-70.6828152368394
434390,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.45213828650584,-70.6940441778909
434389,0,1,0,0,0,13106,ESTACIÓN CENTRAL,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.45213828650584,-70.7052731189424
435629,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38925621661747,-70.60645843768924
435627,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38925621661747,-70.62891631979222
435803,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.60645843768924
435802,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.61768737874073
435801,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.62891631979222
435800,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.64014526084371
435976,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.37128991093508,-70.60645843768924
435974,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.37128991093508,-70.62891631979222
435972,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.37128991093508,-70.64912841368492
435970,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.37128991093508,-70.6715862957879
436151,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.60645843768924
436150,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.61768737874073
436149,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.62891631979222
436148,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.64014526084371
436147,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.64912841368492
436146,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.66035735473642
436145,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.6715862957879
436144,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.36230675809388,-70.6828152368394
436326,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.35332360525268,-70.60645843768924
436324,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.35332360525268,-70.62891631979222
436322,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.35332360525268,-70.64912841368492
436320,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.35332360525268,-70.6715862957879
436502,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.59522949663777
436501,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.60645843768924
436500,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.61768737874073
436499,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.62891631979222
436498,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.63789947263342
436497,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.64912841368492
436496,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.66035735473642
436495,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.6715862957879
436494,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.34434045241149,-70.6828152368394
436670,0,1,0,0,0,13107,HUECHURABA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.3353572995703,-70.6715862957879
434919,0,1,0,0,0,13108,INDEPENDENCIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.42518882798225,-70.65137420189522
